"artist","name","country","lifespan"
"bf0f7e29-dfe1-416c-b5c6-f9ebc19ea810","Bee Gees","GB","1958 2003"
"c754774d-d3ea-4216-9486-368c04b1bbe7","The BellRays","US","1991 undefined"
"d15721d8-56b4-453d-b506-fc915b14cba2","The Black Keys","US","2001 undefined"
"2819834e-4e08-47b0-a2c4-b7672318e8f0","The Byrds","null","1964 1973"
"092b603f-eb4c-4958-b10e-02420de5885b","The Cars","US","1976 undefined"
"8f92558c-2baa-4758-8c38-615519e9deda","The Clash","GB","1976 1986"
"8846e4ff-0c19-4af2-872b-7a8dc7497f68","The Cult","GB","1983 undefined"
"69ee3720-a7cb-4402-b48d-a02c366f2bcf","The Cure","GB","1977 undefined"
"5f572b31-8fd9-45ae-9beb-358c98d839df","The Dandy Warhols","US","1994 undefined"
"81df2271-03a1-46a3-bb30-cce187235312","The Darkness","GB","2000 undefined"
"334bd887-9044-4c38-aebd-4baab851efb4","The Dead Weather","US","2009 undefined"
"9efff43b-3b29-4082-824e-bc82f646f93d","The Doors","US","1965 1972"
"091ec508-877f-4e3c-92a3-10903bbbc7ad","The Everly Brothers","US","1957 2014-01-03"
"f4ad883e-9a92-45ed-a540-a49c2d1c36dd","The Fratellis","GB","2005 undefined"
"487bfd74-71bf-46dd-b89c-80b7a0f06f2f","The Hives","SE","1993 undefined"
"95e1ead9-4d31-4808-a7ac-32c3614c116b","The Killers","null","2001 undefined"
"2c629b8c-d751-4131-b785-5690bb5e0fd7","The Kills","GB","2000 undefined"
"17b53d9f-5c63-4a09-a593-dde4608e0db9","The Kinks","GB","1964 1996"
"f82f3a3e-29c2-42ca-b589-bc5dc210fa9e","The Kooks","GB","2004 undefined"
"ff294730-0315-440d-a543-54005779c15b","The Mamas & the Papas","US","1965 1972"
"b8549efe-f4fd-4dc0-8ef1-226e9c400233","The Monkees","US","1966 undefined"
"9e0e2b01-41db-4008-bd8b-988977d6019a","The Police","GB","1977 2008"
"54f8c12e-571c-4c5a-9f79-5336b39e84b0","The Pretty Reckless","US","2008 undefined"
"be407b02-f3e6-4ed5-9489-f8e5f0ab36dc","The Raconteurs","US","2005 undefined"
"b071f9fa-14b0-4217-8e97-eb41da73f598","The Rolling Stones","GB","1962 undefined"
"e5db18cb-4b1f-496d-a308-548b611090d3","Sex Pistols","GB","1975-10 1978-01-14"
"ba0d6274-db14-4ef5-b28d-657ebde1a396","The Smashing Pumpkins","US","1988 undefined"
"40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27","The Smiths","GB","1982 1987"
"794c6bf2-3241-416f-9b8f-24e2d84a1c4b","The Stooges","US","1967 undefined"
"f181961b-20f7-459e-89de-920ef03c7ed0","The Strokes","US","1998 undefined"
"c1aa2ec9-53e7-4d90-8d36-bac75832e986","The Supremes","US","1961-01-15 1977-06-12"
"d8df96ae-8fcf-4997-b3e6-e5d1aaf0f69e","The Temptations","US","1960 undefined"
"335b6182-0da8-4dc6-a5ec-fe13f0f87e4b","The Turtles","US","1965 1971"
"aa76ec08-45ab-4724-9411-d80b0e59ac59","The Vaccines","GB","2010 undefined"
"94b0fb9d-a066-4823-b2ec-af1d324bcfcf","The Velvet Underground","US","1964 1996"
"b7834ebd-64ae-46c3-a930-2d3a52ee743a","The Walkmen","US","2000 undefined"
"11ae9fbb-f3d7-4a47-936f-4c0a04d3b3b5","The White Stripes","US","1997-07-14 2011-02-02"
"9fdaa16b-a6c4-4831-b87c-bc9ca8ce7eaa","The Who","GB","1964-02 undefined"
"191de76f-a224-445d-b041-54df16d65bf7","The Yardbirds","GB","1963 undefined"
"4bc09c51-5d42-4c93-9ba6-8cc21a0edb8d","Them Crooked Vultures","US","2009 undefined"
"6a726ac6-019e-455c-8bbb-571a77bed52e","Thin Lizzy","IE","1969 undefined"
"d8354b38-e942-4c89-ba93-29323432abc3","Thirty Seconds to Mars","US","1998 undefined"
"6f1de078-6684-4792-820d-2ffad64c15ed","Two Door Cinema Club","null","2007 undefined"
"a3cb23fc-acd3-4ce0-8f36-1e5aa6a18432","U2","IE","1976 undefined"
"b665b768-0d83-4363-950c-31ed39317c15","Van Halen","US","1972 undefined"
"3a528006-1429-47f4-ae9b-2ea95343e16a","Velvet Revolver","US","2002 2008"
"5bdb38bd-5c5b-4d0f-8901-8bbe1d7062d8","White Lies","GB","2008-02 undefined"
"f0c8f75f-8736-4b1d-b312-9349fcff321d","Wolfmother","AU","2003 undefined"
"a81259a0-a2f5-464b-866e-71220f2739f1","ZZ Top","US","1969 undefined"
